1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
161792,000000	261,589375
162816,000000	261,907969
163840,000000	262,032109
164864,000000	262,284844
165888,000000	262,481172
166912,000000	262,786953
167936,000000	262,839688
168960,000000	263,066875
169984,000000	263,112109
171008,000000	263,411719
172032,000000	263,640234
173056,000000	263,721875
174080,000000	263,914375
175104,000000	264,019219
176128,000000	264,267422
177152,000000	264,357656
178176,000000	264,410391
179200,000000	264,655234
180224,000000	264,750469
181248,000000	264,833359
182272,000000	264,972656
183296,000000	265,051328
184320,000000	265,160703
185344,000000	265,290000
186368,000000	265,384844
187392,000000	265,437344
188416,000000	265,540391
189440,000000	265,710703
190464,000000	265,828203
191488,000000	265,844844
192512,000000	265,959531
193536,000000	266,104219
194560,000000	266,150781
195584,000000	266,210000
196608,000000	266,234375
197632,000000	266,351641
198656,000000	266,518672
199680,000000	266,713125
200704,000000	266,708828
201728,000000	266,695156
202752,000000	266,861797
203776,000000	267,000859
204800,000000	267,064219
205824,000000	267,128203
206848,000000	267,091563
207872,000000	267,206328
208896,000000	267,240547
209920,000000	267,422188
210944,000000	267,349609
211968,000000	267,493594
212992,000000	267,623672
214016,000000	267,605469
215040,000000	267,698047
216064,000000	267,717578
217088,000000	267,728047
218112,000000	267,884531
219136,000000	267,849453
220160,000000	267,907422
221184,000000	267,909141
222208,000000	268,133281
223232,000000	268,073750
224256,000000	268,076562
225280,000000	268,187031
226304,000000	268,176016
227328,000000	268,265781
228352,000000	268,232422
229376,000000	268,291797
230400,000000	268,288125
231424,000000	268,436484
232448,000000	268,280000
233472,000000	268,395547
234496,000000	268,444922
235520,000000	268,464063
236544,000000	268,521719
237568,000000	268,503672
238592,000000	268,560078
239616,000000	268,582109
240640,000000	268,552188
241664,000000	268,734844
242688,000000	268,594219
243712,000000	268,614375
244736,000000	268,703672
245760,000000	268,639062
246784,000000	268,758047
247808,000000	268,668594
248832,000000	268,685781
249856,000000	268,861094
250880,000000	268,717266
251904,000000	268,777813
252928,000000	268,803750
253952,000000	268,894922
254976,000000	268,856641
256000,000000	268,869766
257024,000000	268,835703
258048,000000	268,855391
259072,000000	268,918750
260096,000000	268,919453
